.HEADER
..NAMES
Time,Dig_V(:cic3_echip65_1x1_top_tb:v)
..UNITS
s,
..DATATYPES
double,bit
..WAVEFORM_TYPES
,bit
..AXIS_SPACING
linear
.DATA
4.485597e-4,'1'
4.489503e-4,'0'
4.491456e-4,'1'
4.493410e-4,'0'
4.495363e-4,'1'
4.501222e-4,'0'
4.503175e-4,'1'
4.505129e-4,'0'
4.507081e-4,'1'
4.512941e-4,'0'
4.514894e-4,'1'
4.516847e-4,'0'
4.518800e-4,'1'
4.522707e-4,'0'
4.524659e-4,'1'
4.528566e-4,'0'
4.530519e-4,'1'
4.534425e-4,'0'
4.536378e-4,'1'
4.540284e-4,'0'
4.542238e-4,'1'
4.544191e-4,'0'
4.546144e-4,'1'
4.550051e-4,'0'
4.552003e-4,'1'
4.555910e-4,'0'
4.557863e-4,'1'
4.561769e-4,'0'
4.563722e-4,'1'
4.567628e-4,'0'
4.569582e-4,'1'
4.571535e-4,'0'
4.573488e-4,'1'
4.577394e-4,'0'
4.579347e-4,'1'
4.583253e-4,'0'
4.585206e-4,'1'
4.587160e-4,'0'
4.589113e-4,'1'
4.593019e-4,'0'
4.594972e-4,'1'
4.598878e-4,'0'
4.600831e-4,'1'
4.604738e-4,'0'
4.606691e-4,'1'
4.608644e-4,'0'
4.610597e-4,'1'
4.614503e-4,'0'
4.616456e-4,'1'
4.620362e-4,'0'
4.622316e-4,'1'
4.624269e-4,'0'
4.626222e-4,'1'
4.630128e-4,'0'
4.632082e-4,'1'
4.634035e-4,'0'
4.635988e-4,'1'
4.639894e-4,'0'
4.641847e-4,'1'
4.643801e-4,'0'
4.645753e-4,'1'
4.649660e-4,'0'
4.651613e-4,'1'
4.655519e-4,'0'
4.657472e-4,'1'
4.659426e-4,'0'
4.661378e-4,'1'
4.665285e-4,'0'
4.667238e-4,'1'
4.671144e-4,'0'
4.673097e-4,'1'
4.675050e-4,'0'
4.677003e-4,'1'
4.678957e-4,'0'
4.680909e-4,'1'
4.684816e-4,'0'
4.686769e-4,'1'
4.690675e-4,'0'
